trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2097,False,"{'a': 0.5, 'e': 0.2791596673416229}",25,0,-15.260216329995233,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
2098,False,"{'a': 0.5, 'e': 0.27857554070690671}",25,13,15.067833306252698,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2099,False,"{'a': 0.5, 'e': 0.27799131088877677}",20,0,-56.05903177516143,"{0: 15, 1: 2, 2: 0, 3: 3, 4: 0}",0
2100,False,"{'a': 0.5, 'e': 0.27740697810336346}",20,0,-6.559758514404061,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
2101,False,"{'a': 0.5, 'e': 0.27682254256683531}",30,0,17.43762730586367,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
2102,False,"{'a': 0.5, 'e': 0.27623800449539898}",25,0,25.091147180444057,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
2103,False,"{'a': 0.5, 'e': 0.27565336410529934}",25,0,-28.62438036124971,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
2104,False,"{'a': 0.5, 'e': 0.27506862161281909}",25,17,3.666519051505907,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2105,False,"{'a': 0.5, 'e': 0.27448377723427897}",25,0,-27.85772542368026,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
2106,False,"{'a': 0.5, 'e': 0.27389883118603747}",20,0,-48.761726064512985,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2107,False,"{'a': 0.5, 'e': 0.27331378368449083}",25,0,-17.056346554627588,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
2108,False,"{'a': 0.5, 'e': 0.27272863494607302}",30,0,3.8699957533186637,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
2109,False,"{'a': 0.5, 'e': 0.27214338518725562}",20,0,-77.51816967405516,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2110,False,"{'a': 0.5, 'e': 0.27155803462454758}",30,0,17.624745047644996,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
2111,False,"{'a': 0.5, 'e': 0.27097258347449543}",30,0,-24.596569611769663,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
2112,False,"{'a': 0.5, 'e': 0.27038703195368302}",25,0,15.157556989028654,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
2113,False,"{'a': 0.5, 'e': 0.26980138027873141}",25,0,1.4318924140979805,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
2114,False,"{'a': 0.5, 'e': 0.26921562866629895}",25,0,22.160485272364056,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2115,False,"{'a': 0.5, 'e': 0.26862977733308097}",20,0,-0.9740846035352543,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2116,False,"{'a': 0.5, 'e': 0.26804382649580993}",25,0,14.209329864861814,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
2117,False,"{'a': 0.5, 'e': 0.26745777637125528}",25,0,-41.76849816349899,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
2118,False,"{'a': 0.5, 'e': 0.2668716271762232}",20,0,-52.63684105838567,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
2119,False,"{'a': 0.5, 'e': 0.26628537912755679}",25,0,12.169770594545188,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
2120,False,"{'a': 0.5, 'e': 0.26569903244213577}",20,0,-11.951065165937669,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
2121,False,"{'a': 0.5, 'e': 0.26511258733687654}",20,0,5.023087324643608,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2122,False,"{'a': 0.5, 'e': 0.26452604402873203}",30,0,-112.03252001706886,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 3}",0
2123,False,"{'a': 0.5, 'e': 0.26393940273469163}",25,0,20.282175801759056,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
2124,False,"{'a': 0.5, 'e': 0.26335266367178117}",20,0,-5.047031526150806,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
2125,False,"{'a': 0.5, 'e': 0.2627658270570627}",20,0,3.538171909788571,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2126,False,"{'a': 0.5, 'e': 0.26217889310763459}",30,0,6.988896879190105,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
2127,False,"{'a': 0.5, 'e': 0.26159186204063134}",20,0,2.449909316460451,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2128,False,"{'a': 0.5, 'e': 0.26100473407322344}",25,0,-26.706515901946283,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
2129,False,"{'a': 0.5, 'e': 0.26041750942261743}",20,0,-1.6075750837413993,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2130,False,"{'a': 0.5, 'e': 0.25983018830605581}",35,13,-73.94480080103011,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 2}",1
2131,False,"{'a': 0.5, 'e': 0.25924277094081677}",20,2,27.248007187911128,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2132,False,"{'a': 0.5, 'e': 0.25865525754421437}",20,7,-13.182959568469295,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
2133,False,"{'a': 0.5, 'e': 0.25806764833359824}",20,0,-0.5149021609216522,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2134,False,"{'a': 0.5, 'e': 0.25747994352635373}",20,0,24.000772785809637,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2135,False,"{'a': 0.5, 'e': 0.25689214333990151}",25,0,-72.75257235245351,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
2136,False,"{'a': 0.5, 'e': 0.25630424799169782}",20,0,15.405933645916226,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2137,False,"{'a': 0.5, 'e': 0.25571625769923417}",20,0,23.465774733724466,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2138,False,"{'a': 0.5, 'e': 0.25512817268003735}",25,0,-68.07036379557786,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
2139,False,"{'a': 0.5, 'e': 0.25453999315166936}",25,0,35.429097242463854,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2140,False,"{'a': 0.5, 'e': 0.25395171933172728}",25,7,-34.444043840344854,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
2141,False,"{'a': 0.5, 'e': 0.25336335143784322}",25,0,36.6452133189424,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2142,False,"{'a': 0.5, 'e': 0.25277488968768419}",20,0,-44.28928352002027,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",0
2143,False,"{'a': 0.5, 'e': 0.2521863342989521}",25,17,4.635949709374158,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2144,False,"{'a': 0.5, 'e': 0.25159768548938366}",20,0,-2.81013904494176,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
2145,False,"{'a': 0.5, 'e': 0.25100894347675023}",20,0,22.856082572833145,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2146,False,"{'a': 0.5, 'e': 0.25042010847885782}",30,15,-10.363692960438192,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
2147,False,"{'a': 0.5, 'e': 0.24983118071354693}",20,0,-12.845763457151895,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2148,False,"{'a': 0.5, 'e': 0.2492421603986926}",25,0,19.938926448130335,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
2149,False,"{'a': 0.5, 'e': 0.24865304775220418}",25,0,14.800030547319373,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2150,False,"{'a': 0.5, 'e': 0.24806384299202533}",30,23,11.810920912276211,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2151,False,"{'a': 0.5, 'e': 0.24747454633613394}",20,8,11.680583819914204,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2152,False,"{'a': 0.5, 'e': 0.24688515800254204}",20,0,24.886688373356648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2153,False,"{'a': 0.5, 'e': 0.24629567820929568}",25,0,5.0696219844117385,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
2154,False,"{'a': 0.5, 'e': 0.24570610717447491}",25,15,17.804848185029538,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2155,False,"{'a': 0.5, 'e': 0.24511644511619368}",20,3,-3.2893181875266944,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
2156,False,"{'a': 0.5, 'e': 0.24452669225259971}",20,0,11.40740642677039,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2157,False,"{'a': 0.5, 'e': 0.2439368488018745}",20,0,-12.678645018371821,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2158,False,"{'a': 0.5, 'e': 0.24334691498223315}",20,0,4.126653983109813,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
2159,False,"{'a': 0.5, 'e': 0.24275689101192438}",30,0,3.8212174925692026,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
2160,False,"{'a': 0.5, 'e': 0.24216677710923037}",30,0,-8.551167983049673,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
2161,False,"{'a': 0.5, 'e': 0.24157657349246672}",20,0,-14.88297277667739,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2162,False,"{'a': 0.5, 'e': 0.24098628037998235}",20,0,-15.515708424920021,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2163,False,"{'a': 0.5, 'e': 0.24039589799015942}",20,0,3.359520802310308,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2164,False,"{'a': 0.5, 'e': 0.23980542654141329}",20,0,-19.7868267041805,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
