trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.95189551344366741}",20,0,-122.11018864156453,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.95075392391824098}",25,0,-140.03219647239996,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.94961370347862928}",20,0,-74.62480105215226,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.94847485048291469}",25,7,-67.37947040476176,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.9473373632911487}",20,0,-34.80855513638168,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.94620124026534957}",20,0,-133.41243173519118,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.94506647976949998}",25,11,-107.59155502815095,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 2}",1
49,False,"{'a': 0.5, 'e': 0.94393308016954447}",30,0,-126.79167758812791,"{0: 15, 1: 5, 2: 8, 3: 2, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.94280103983338759}",20,15,10.041157606271085,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.94167035713089098}",30,0,-176.40342624923122,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.94054103043387138}",25,0,-197.85119758037183,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
53,False,"{'a': 0.5, 'e': 0.9394130581160981}",25,0,-66.03749365581965,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.93828643855329086}",20,0,-63.80867815549163,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.93716117012311728}",25,6,-33.25524029548248,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.93603725120519055}",30,0,-139.03091495006086,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.93491468018106727}",25,0,-61.26027961963672,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.93379345543424508}",25,0,-166.8167942380836,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.93267357535016004}",25,6,-51.45291769441442,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.93155503831618469}",20,0,-60.32578097917913,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.93043784272162544}",30,0,-213.1202799511626,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.9293219869577205}",30,0,-147.246176345848,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.92820746941763743}",20,0,-141.0218120995384,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.92709428849647069}",25,0,-83.91799600282607,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.92598244259123963}",30,0,-220.46777882806902,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
