trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6427,False,"{'a': 0.1, 'e': 0.00044773903564263875}",20,3,29.01953865945402,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6428,False,"{'a': 0.1, 'e': 0.00044720207104306309}",20,8,24.070949959203254,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6429,False,"{'a': 0.1, 'e': 0.00044666575041454702}",30,21,14.85732757779989,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6430,False,"{'a': 0.1, 'e': 0.00044613007298478872}",25,8,28.43151607971553,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6431,False,"{'a': 0.1, 'e': 0.00044559503798241259}",30,14,32.6201109831101,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6432,False,"{'a': 0.1, 'e': 0.00044506064463696815}",20,0,30.669582424874605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6433,False,"{'a': 0.1, 'e': 0.00044452689217892893}",20,3,28.00847634946071,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6434,False,"{'a': 0.1, 'e': 0.00044399377983969125}",25,8,35.565042767279905,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6435,False,"{'a': 0.1, 'e': 0.00044346130685157326}",20,12,17.493167136137853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6436,False,"{'a': 0.1, 'e': 0.00044292947244781378}",20,14,14.087642420971767,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6437,False,"{'a': 0.1, 'e': 0.00044239827586257116}",20,2,30.61108594473727,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6438,False,"{'a': 0.1, 'e': 0.00044186771633092224}",30,20,20.40031207996885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6439,False,"{'a': 0.1, 'e': 0.00044133779308886116}",30,16,31.998303827575466,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6440,False,"{'a': 0.1, 'e': 0.00044080850537329838}",20,8,22.15639674960507,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6441,False,"{'a': 0.1, 'e': 0.00044027985242205955}",30,18,19.578442096903593,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6442,False,"{'a': 0.1, 'e': 0.00043975183347388425}",20,11,19.196821619231535,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6443,False,"{'a': 0.1, 'e': 0.00043922444776842514}",20,12,15.01347550819789,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6444,False,"{'a': 0.1, 'e': 0.00043869769454624673}",20,12,14.547403998100055,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6445,False,"{'a': 0.1, 'e': 0.00043817157304882427}",35,17,38.82051846783951,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6446,False,"{'a': 0.1, 'e': 0.0004376460825185427}",20,6,23.121161302693697,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6447,False,"{'a': 0.1, 'e': 0.00043712122219869559}",25,11,23.485591214900914,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6448,False,"{'a': 0.1, 'e': 0.00043659699133348398}",35,14,39.67480901264606,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
6449,False,"{'a': 0.1, 'e': 0.00043607338916801534}",25,14,20.17629380925721,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6450,False,"{'a': 0.1, 'e': 0.00043555041494830249}",25,3,33.56408350812952,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6451,False,"{'a': 0.1, 'e': 0.00043502806792126237}",20,9,21.332698535120613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6452,False,"{'a': 0.1, 'e': 0.00043450634733471527}",25,15,21.26604622200618,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6453,False,"{'a': 0.1, 'e': 0.0004339852524373834}",25,15,17.60027347852882,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6454,False,"{'a': 0.1, 'e': 0.00043346478247889005}",20,8,23.404163878833415,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6455,False,"{'a': 0.1, 'e': 0.00043294493670975836}",20,11,17.012887753712867,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6456,False,"{'a': 0.1, 'e': 0.00043242571438141037}",25,13,22.33692246207398,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6457,False,"{'a': 0.1, 'e': 0.00043190711474616579}",25,3,35.57378313953802,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6458,False,"{'a': 0.1, 'e': 0.00043138913705724106}",25,17,15.24551667822739,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6459,False,"{'a': 0.1, 'e': 0.00043087178056874824}",35,19,30.587167306913894,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6460,False,"{'a': 0.1, 'e': 0.00043035504453569392}",35,15,42.35904119317122,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6461,False,"{'a': 0.1, 'e': 0.00042983892821397811}",25,16,18.244178200098446,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6462,False,"{'a': 0.1, 'e': 0.00042932343086039316}",20,6,20.214287800222635,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6463,False,"{'a': 0.1, 'e': 0.00042880855173262284}",20,9,20.855418579967917,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6464,False,"{'a': 0.1, 'e': 0.00042829429008924111}",25,15,20.444880711906595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6465,False,"{'a': 0.1, 'e': 0.00042778064518971112}",20,8,19.261443884941663,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6466,False,"{'a': 0.1, 'e': 0.00042726761629438412}",25,13,16.732173270796107,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6467,False,"{'a': 0.1, 'e': 0.00042675520266449843}",25,14,20.30606763752241,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6468,False,"{'a': 0.1, 'e': 0.00042624340356217834}",20,9,17.699900457876847,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6469,False,"{'a': 0.1, 'e': 0.00042573221825043303}",25,12,22.76176855855558,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6470,False,"{'a': 0.1, 'e': 0.00042522164599315555}",25,14,19.872697961390063,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6471,False,"{'a': 0.1, 'e': 0.00042471168605512176}",20,2,32.51892794058396,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6472,False,"{'a': 0.1, 'e': 0.0004242023377019893}",25,11,24.83198692672746,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6473,False,"{'a': 0.1, 'e': 0.00042369360020029642}",30,19,20.786246787644515,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6474,False,"{'a': 0.1, 'e': 0.00042318547281746104}",30,13,31.272959593965965,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6475,False,"{'a': 0.1, 'e': 0.00042267795482177968}",30,12,29.886154441855837,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6476,False,"{'a': 0.1, 'e': 0.0004221710454824263}",35,18,29.75533811087597,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6477,False,"{'a': 0.1, 'e': 0.00042166474406945138}",25,15,15.698605014324892,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6478,False,"{'a': 0.1, 'e': 0.00042115904985378077}",20,13,12.875163918128301,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6479,False,"{'a': 0.1, 'e': 0.0004206539621072147}",30,15,30.01624667505495,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6480,False,"{'a': 0.1, 'e': 0.00042014948010242676}",20,10,18.75031193522026,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6481,False,"{'a': 0.1, 'e': 0.00041964560311296279}",30,7,33.77147635620629,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
6482,False,"{'a': 0.1, 'e': 0.0004191423304132398}",20,3,25.63419982504332,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6483,False,"{'a': 0.1, 'e': 0.00041863966127854505}",25,9,31.224732397053245,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6484,False,"{'a': 0.1, 'e': 0.00041813759498503489}",25,14,17.51765718287067,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6485,False,"{'a': 0.1, 'e': 0.00041763613080973374}",25,10,29.093368471426277,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6486,False,"{'a': 0.1, 'e': 0.00041713526803053311}",25,11,28.735461907280197,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
