trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1469,False,"{'a': 0.1, 'e': 0.17175263515974643}",20,15,10.544858777643555,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1470,False,"{'a': 0.1, 'e': 0.17154665561000212}",20,16,7.882323910605556,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1471,False,"{'a': 0.1, 'e': 0.17134092308747154}",25,10,17.94084115524128,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1472,False,"{'a': 0.1, 'e': 0.17113543729589981}",25,8,16.546011379838657,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1473,False,"{'a': 0.1, 'e': 0.17093019793938735}",25,17,19.67346809110292,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1474,False,"{'a': 0.1, 'e': 0.17072520472238947}",25,12,-55.11311635062143,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
1475,False,"{'a': 0.1, 'e': 0.17052045734971591}",25,13,20.54908915739754,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1476,False,"{'a': 0.1, 'e': 0.17031595552653039}",20,2,15.679473777217313,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1477,False,"{'a': 0.1, 'e': 0.17011169895835027}",20,12,12.020866045515021,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1478,False,"{'a': 0.1, 'e': 0.16990768735104603}",25,17,14.531913268129916,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1479,False,"{'a': 0.1, 'e': 0.16970392041084092}",30,16,-9.569160020963627,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
1480,False,"{'a': 0.1, 'e': 0.16950039784431054}",20,10,-26.972808761428517,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
1481,False,"{'a': 0.1, 'e': 0.16929711935838235}",25,10,-26.55701567266046,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
1482,False,"{'a': 0.1, 'e': 0.16909408466033529}",30,9,20.351550654556725,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
1483,False,"{'a': 0.1, 'e': 0.16889129345779935}",20,4,-61.07667903192693,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
1484,False,"{'a': 0.1, 'e': 0.16868874545875517}",20,6,24.032519955447317,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1485,False,"{'a': 0.1, 'e': 0.16848644037153362}",30,0,8.802866749283616,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
1486,False,"{'a': 0.1, 'e': 0.16828437790481532}",20,0,14.683761180752784,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1487,False,"{'a': 0.1, 'e': 0.16808255776763026}",20,2,10.063961944559265,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
1488,False,"{'a': 0.1, 'e': 0.16788097966935744}",20,6,7.877976777809842,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1489,False,"{'a': 0.1, 'e': 0.16767964331972435}",20,1,-3.9618533258792827,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
1490,False,"{'a': 0.1, 'e': 0.16747854842880661}",20,14,8.05301930536257,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1491,False,"{'a': 0.1, 'e': 0.16727769470702755}",30,13,17.093206268431132,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
1492,False,"{'a': 0.1, 'e': 0.16707708186515779}",25,15,-16.14534213460374,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
1493,False,"{'a': 0.1, 'e': 0.16687670961431478}",20,16,6.770179435222683,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1494,False,"{'a': 0.1, 'e': 0.16667657766596244}",20,16,7.73206808518546,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1495,False,"{'a': 0.1, 'e': 0.16647668573191077}",20,12,7.066973344183586,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1496,False,"{'a': 0.1, 'e': 0.1662770335243153}",25,9,31.875641327696105,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1497,False,"{'a': 0.1, 'e': 0.16607762075567684}",25,12,25.22505111091901,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1498,False,"{'a': 0.1, 'e': 0.16587844713884095}",35,21,14.280873985544275,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1499,False,"{'a': 0.1, 'e': 0.16567951238699763}",20,14,10.722164274442418,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1500,False,"{'a': 0.1, 'e': 0.16548081621368077}",30,19,26.045521318773872,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1501,False,"{'a': 0.1, 'e': 0.16528235833276786}",20,10,18.642871563766118,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1502,False,"{'a': 0.1, 'e': 0.1650841384584795}",30,20,7.167456944884856,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1503,False,"{'a': 0.1, 'e': 0.16488615630537903}",20,10,14.01557519546776,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1504,False,"{'a': 0.1, 'e': 0.16468841158837216}",20,12,-4.5216856624810475,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
1505,False,"{'a': 0.1, 'e': 0.16449090402270641}",20,0,9.281818482776364,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1506,False,"{'a': 0.1, 'e': 0.1642936333239709}",25,19,9.890581351805427,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1507,False,"{'a': 0.1, 'e': 0.16409659920809574}",30,0,-22.50696166606056,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
1508,False,"{'a': 0.1, 'e': 0.16389980139135182}",25,12,15.993960963353334,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1509,False,"{'a': 0.1, 'e': 0.16370323959035021}",25,2,28.76700762045653,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
1510,False,"{'a': 0.1, 'e': 0.16350691352204191}",20,3,-5.915103353739905,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
1511,False,"{'a': 0.1, 'e': 0.16331082290371735}",25,19,9.707231284275283,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1512,False,"{'a': 0.1, 'e': 0.16311496745300597}",20,0,-15.758968814683412,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
1513,False,"{'a': 0.1, 'e': 0.1629193468878759}",20,12,11.222019847963079,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1514,False,"{'a': 0.1, 'e': 0.16272396092663352}",30,18,0.5847228577036567,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
1515,False,"{'a': 0.1, 'e': 0.16252880928792299}",20,10,4.651095990090283,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1516,False,"{'a': 0.1, 'e': 0.1623338916907259}",25,15,20.814869653450025,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1517,False,"{'a': 0.1, 'e': 0.16213920785436092}",20,13,4.9624850161224305,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1518,False,"{'a': 0.1, 'e': 0.16194475749848325}",30,13,30.609918878341514,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1519,False,"{'a': 0.1, 'e': 0.16175054034308436}",35,18,33.056742517238,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1520,False,"{'a': 0.1, 'e': 0.16155655610849154}",20,9,17.902750983468945,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1521,False,"{'a': 0.1, 'e': 0.16136280451536741}",25,15,18.24125275045237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1522,False,"{'a': 0.1, 'e': 0.16116928528470967}",20,6,13.28665213339876,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1523,False,"{'a': 0.1, 'e': 0.1609759981378506}",20,10,7.615011454743857,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1524,False,"{'a': 0.1, 'e': 0.16078294279645666}",25,0,20.939429882774185,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1525,False,"{'a': 0.1, 'e': 0.16059011898252812}",35,17,28.680244382869336,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1526,False,"{'a': 0.1, 'e': 0.16039752641839866}",25,14,12.611176313713514,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1527,False,"{'a': 0.1, 'e': 0.16020516482673497}",25,16,-0.3260719175197977,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
1528,False,"{'a': 0.1, 'e': 0.16001303393053631}",35,20,13.07524246717913,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1529,False,"{'a': 0.1, 'e': 0.15982113345313417}",20,7,5.813994125385821,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1530,False,"{'a': 0.1, 'e': 0.15962946311819182}",20,10,17.754261666110285,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1531,False,"{'a': 0.1, 'e': 0.15943802264970394}",25,18,10.858705880015647,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1532,False,"{'a': 0.1, 'e': 0.15924681177199623}",20,6,12.654024092836028,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1533,False,"{'a': 0.1, 'e': 0.159055830209725}",20,15,10.214462028102936,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1534,False,"{'a': 0.1, 'e': 0.15886507768787675}",20,6,3.532544256544957,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
1535,False,"{'a': 0.1, 'e': 0.15867455393176783}",25,11,-59.501350601224665,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
1536,False,"{'a': 0.1, 'e': 0.15848425866704396}",20,13,10.197278253471872,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1537,False,"{'a': 0.1, 'e': 0.15829419161967997}",30,24,10.11843900602955,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
