trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1992,False,"{'a': 0.1, 'e': 0.091693846652233374}",20,11,16.14586077327246,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1993,False,"{'a': 0.1, 'e': 0.091583880029420375}",35,17,38.28762439516742,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1994,False,"{'a': 0.1, 'e': 0.091474045287410446}",25,8,17.731090051497,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1995,False,"{'a': 0.1, 'e': 0.091364342268041535}",25,18,15.233306625180779,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1996,False,"{'a': 0.1, 'e': 0.091254770813341282}",25,15,-12.839264162459198,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
1997,False,"{'a': 0.1, 'e': 0.091145330765526764}",25,20,8.66816554582135,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1998,False,"{'a': 0.1, 'e': 0.091036021967004305}",25,18,12.653781251914852,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1999,False,"{'a': 0.1, 'e': 0.090926844260369205}",30,8,24.535166235173598,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
2000,False,"{'a': 0.1, 'e': 0.090817797488405558}",35,21,27.991668284730203,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2001,False,"{'a': 0.1, 'e': 0.090708881494085986}",30,21,17.84354056397316,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2002,False,"{'a': 0.1, 'e': 0.090600096120571433}",25,0,29.36795841148623,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
2003,False,"{'a': 0.1, 'e': 0.090491441211210957}",20,12,16.369391411480343,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
